Time,Winner,Loser,Result
2026-01-01 17:19:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:19:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:19:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:21:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:21:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:22:26,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:23:11,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:23:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:24:42,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:25:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:25:26,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:26:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:28:05,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:28:17,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:28:27,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:28:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:31:17,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:31:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:32:16,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:32:53,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:33:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:33:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:35:13,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:36:04,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:36:26,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:36:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:37:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:38:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:39:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:40:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:40:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:41:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:41:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:42:35,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:43:15,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:43:43,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:43:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:45:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
